[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [8] ob_end_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete. LoginAction.class.php 第 47 行.
[ 2017-04-22T10:49:20+08:00 ] /web/tuiguang/index.php/Login/verify | NOTIC: [2] Cannot modify header information - headers already sent by (output started at F:\nginx-1.8.1\html\web\tuiguang\Common\common.php:1) Image.class.php 第 508 行.
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Run CheckRoute Behavior [ RunTime:0.001620s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ route_check ] --END-- [ RunTime:0.001700s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001730s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001891s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/Login/userCheck | NOTIC: [8] A session had already been started - ignoring session_start() LoginAction.class.php 第 10 行.
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | INFO: Tag[ route_check ] --START--
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | INFO: Run CheckRoute Behavior [ RunTime:0.001796s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | INFO: Tag[ route_check ] --END-- [ RunTime:0.001974s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | INFO: Tag[ app_begin ] --START--
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001479s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001519s ]
[ 2017-04-22T10:49:44+08:00 ] /web/tuiguang/index.php/User | NOTIC: [8] A session had already been started - ignoring session_start() functions.php 第 411 行.
